Papel,Nome,YahooTicker
AALR3,ALLIAR,AALR3.SA
ABCB3,ABC Brasil,ABCB3.SA
ABCB4,ABC Brasil,ABCB4.SA
ABEV3,AMBEV S/A,ABEV3.SA
ABRE3,SOMOS EDUCA,ABRE3.SA
ABYA3,ABYARA,ABYA3.SA
ACES3,ARCELORMITTAL INOX BRASIL,ACES3.SA
ACES4,ARCELORMITTAL INOX BRASIL,ACES4.SA
ADHM3,ADVANCED-DH,ADHM3.SA
AEDU11,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,AEDU11.SA
AEDU3,ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA,AEDU3.SA
AELP3,AES ELPA,AELP3.SA
AERI3,AERIS,AERI3.SA
AESB3,AES BRASIL,AESB3.SA
AESL3,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,AESL3.SA
AESL4,AES SUL DISTRIB. GAÚCHA DE ENERGIA S.A.,AESL4.SA
AFLT3,AFLUENTE T,AFLT3.SA
AFLU3,AFLUENTE,AFLU3.SA
AFLU5,AFLUENTE,AFLU5.SA
AGEI3,AGRE EMP IMOB,AGEI3.SA
AGEN33,Agrenco,AGEN33.SA
AGIN3,Agra Incorp,AGIN3.SA
AGRO3,BRASILAGRO,AGRO3.SA
AGXY3,AGROGALAXY,AGXY3.SA
AHEB3,PARQUE ANHEMBI,AHEB3.SA
AHEB5,PARQUE ANHEMBI,AHEB5.SA
AHEB6,PARQUE ANHEMBI,AHEB6.SA
ALBA3,DANA-ALBARUS S/A INDÚSTRIA E COMÉRCIO,ALBA3.SA
ALLD3,ALLIED,ALLD3.SA
ALLL11,RUMO S.A.,ALLL11.SA
ALLL3,RUMO S.A.,ALLL3.SA
ALLL4,RUMO S.A.,ALLL4.SA
ALOS3,ALLOS,ALOS3.SA
ALPA3,ALPARGATAS,ALPA3.SA
ALPA4,ALPARGATAS,ALPA4.SA
ALPK3,ESTAPAR,ALPK3.SA
ALSC3,ALIANSCE,ALSC3.SA
ALSO3,ALLOS,ALSO3.SA
ALUP11,ALUPAR,ALUP11.SA
ALUP3,ALUPAR,ALUP3.SA
ALUP4,ALUPAR,ALUP4.SA
AMAR3,LOJAS MARISA,AMAR3.SA
AMBP3,AMBIPAR,AMBP3.SA
AMBV3,AMBEV,AMBV3.SA
AMBV4,AMBEV,AMBV4.SA
AMER3,AMERICANAS,AMER3.SA
AMIL3,AMIL,AMIL3.SA
AMOB3,AUTOMOB,AMOB3.SA
AMPI3,AMPLA INVEST,AMPI3.SA
ANIM3,ANIMA,ANIM3.SA
AORE3,ADVANCED-DH,AORE3.SA
APER3,ALPER S.A.,APER3.SA
APTI4,ALIPERTI,APTI4.SA
ARCE3,BELGO,ARCE3.SA
ARCZ3,ARACRUZ CELULOSE SA,ARCZ3.SA
ARCZ6,ARACRUZ CELULOSE SA,ARCZ6.SA
ARLA3,ARTHUR LANGE,ARLA3.SA
ARLA4,ARTHUR LANGE,ARLA4.SA
ARML3,ARMAC,ARML3.SA
ARPS3,DOUAT CIA TEXTIL,ARPS3.SA
ARPS4,DOUAT CIA TEXTIL,ARPS4.SA
ARTE3,KUALA S.A.,ARTE3.SA
ARTE4,KUALA S.A.,ARTE4.SA
ARTR3,ARTERIS,ARTR3.SA
ARZZ3,AZZAS 2154,ARZZ3.SA
ASAI3,ASSAI,ASAI3.SA
ASSM3,HOTEIS ELDORADO,ASSM3.SA
ASSM4,HOTEIS ELDORADO,ASSM4.SA
ASTA4,SANTISTA TÊXTIL S.A.,ASTA4.SA
ATED3,ATOM EDUC,ATED3.SA
ATMP3,CONTAX,ATMP3.SA
ATOM3,FICTORALIMEN,ATOM3.SA
AURA32,AURA 360,AURA32.SA
AURA33,AURA 360,AURA33.SA
AURE3,AUREN,AURE3.SA
AUTM3,AUTOMETAL,AUTM3.SA
AVIL3,ACOS VILLARES,AVIL3.SA
AVLL3,ALPHAVILLE,AVLL3.SA
AZEV3,AZEVEDO & TRAVASSOS,AZEV3.SA
AZEV4,AZEVEDO & TRAVASSOS,AZEV4.SA
AZTE3,AZT ENERGIA,AZTE3.SA
AZUL4,AZUL,AZUL4.SA
AZZA3,AZZAS 2154,AZZA3.SA
B3SA3,B3,B3SA3.SA
BAHI11,BIOMA EDUC,BAHI11.SA
BAHI3,BIOMA EDUC,BAHI3.SA
BAHI4,BIOMA EDUC,BAHI4.SA
BAHI5,BIOMA EDUC,BAHI5.SA
BALM3,BAUMER,BALM3.SA
BALM4,BAUMER,BALM4.SA
BAUH4,EXCELSIOR,BAUH4.SA
BAZA3,BANCO DA AMAZONIA S.A.,BAZA3.SA
BBAS3,BANCO DO BRASIL S.A.,BBAS3.SA
BBDC3,BANCO BRADESCO S.A.,BBDC3.SA
BBDC4,BANCO BRADESCO S.A.,BBDC4.SA
BBRK3,NEXPE,BBRK3.SA
BBSE3,BBSEGURIDADE,BBSE3.SA
BBTG11,BTG PACTUAL UNITS,BBTG11.SA
BBTG12,BTG PACTUAL,BBTG12.SA
BBTG13,BTG PACTUAL,BBTG13.SA
BCAL6,PRO METALURG,BCAL6.SA
BDLL3,BARDELLA,BDLL3.SA
BDLL4,BARDELLA,BDLL4.SA
BECE3,BEC,BECE3.SA
BECE4,BEC,BECE4.SA
BEEF3,Minerva,BEEF3.SA
BEES3,BANESTES S/A,BEES3.SA
BEES4,BANESTES S/A,BEES4.SA
BELG3,BELGO,BELG3.SA
BELG4,BELGO,BELG4.SA
BEMA3,Bematech,BEMA3.SA
BERG3,BERGAMO,BERG3.SA
BESP3,BANESPA,BESP3.SA
BESP4,BANESPA,BESP4.SA
BFIT3,BANCO SUDAMERIS BRASIL SA,BFIT3.SA
BFIT4,BANCO SUDAMERIS BRASIL SA,BFIT4.SA
BGIP3,BANESE,BGIP3.SA
BGIP4,BANESE,BGIP4.SA
BHGR3,BHG,BHGR3.SA
BHIA3,CASAS BAHIA,BHIA3.SA
BICB3,BicBanco,BICB3.SA
BICB4,BicBanco,BICB4.SA
BIDI11,BANCO INTER,BIDI11.SA
BIDI3,BANCO INTER,BIDI3.SA
BIDI4,BANCO INTER,BIDI4.SA
BIED3,BIOMA EDUC,BIED3.SA
BIOM3,BIOMM SA,BIOM3.SA
BIOM4,BIOMM SA,BIOM4.SA
BISA3,BROOKFIELD INCORPORACOES,BISA3.SA
BKBR3,ZAMP S.A.,BKBR3.SA
BLAU3,BLAU,BLAU3.SA
BLUT3,B TECH EQI,BLUT3.SA
BLUT4,B TECH EQI,BLUT4.SA
BMEB3,BANCO MERCANTIL DO BRASIL S/A,BMEB3.SA
BMEB4,BANCO MERCANTIL DO BRASIL S/A,BMEB4.SA
BMEF3,BMF,BMEF3.SA
BMGB11,BANCO BMG,BMGB11.SA
BMGB4,BANCO BMG,BMGB4.SA
BMIN3,BANCO MERCANTIL DE INVESTIMENTOS SA,BMIN3.SA
BMIN4,BANCO MERCANTIL DE INVESTIMENTOS SA,BMIN4.SA
BMKS3,MONARK,BMKS3.SA
BMOB3,BEMOBI TECH,BMOB3.SA
